dataset,depth,width,seed,init_scale,shuffle_labels,test_accuracy,param_delta_ratio,n_params,cka_offdiag_mean,cosine_offdiag_mean,procrustes_offdiag_mean,cka_adj,cka_far_k3,pc1_mean,pc1_max_layer,probe_acc_first,probe_acc_last,cka_to_init_mean
cifar10,16,128,0,1.0,False,0.4496,0.9071434262565536,642314,0.7386295406768719,0.11675385267396148,0.7526068547119696,0.9509398778279622,0.6819859282983528,0.6512547340244055,7,0.4375000298023224,0.47300001978874207,0.10772128938697278
cifar10,16,128,1,1.0,False,0.4548,0.9012655835234534,642314,0.7802803461750348,0.14608882585695634,0.7759017130980889,0.9528581658999126,0.7346760342409323,0.7190195638686419,5,0.4385000169277191,0.47050002217292786,0.10086263914126903
cifar10,16,128,2,1.0,False,0.4432,0.9332307963691828,642314,0.7397995529075464,0.12020365856393861,0.7648766336341699,0.9497797211011251,0.6840716197595491,0.668965483084321,5,0.43250003457069397,0.46800002455711365,0.10627793229650706
cifar10,16,512,0,1.0,False,0.4238,0.9055607408516649,5518346,0.7847158097351591,0.08993652271456085,0.7839653243621191,0.9307992835839589,0.7469396867103629,0.8618731144815683,7,0.3920000195503235,0.4075000286102295,0.09629504941403866
cifar10,16,512,1,1.0,False,0.4198,0.9048205827459368,5518346,0.7731307840595643,0.07707773615499415,0.7721655088787277,0.9322256982326508,0.732176022215204,0.8529890747740865,7,0.39750000834465027,0.40150001645088196,0.0987103485967964
cifar10,16,512,2,1.0,False,0.4176,0.9456417162523224,5518346,0.7766773385306199,0.08500554417648042,0.7762468071654439,0.9304299116134643,0.7365214490628504,0.8477457743138075,8,0.3720000088214874,0.3830000162124634,0.09439827676396817
cifar10,4,128,0,1.0,False,0.539,1.5591751412494517,444170,0.7038539300362269,0.06648673738042514,0.7716701825459799,0.8626839717229208,0.40159299969673157,0.18359044566750526,3,0.45350003242492676,0.5295000076293945,0.39361217617988586
cifar10,4,128,1,1.0,False,0.533,1.54665101206906,444170,0.7007224212090174,0.06584086455404758,0.7762333353360494,0.8589434623718262,0.4019080102443695,0.18808684311807156,3,0.45100003480911255,0.5060000419616699,0.38359805569052696
cifar10,4,128,2,1.0,False,0.5432,1.56824335092786,444170,0.6927986492713293,0.06315411441028118,0.7719402213891348,0.8547004461288452,0.382761150598526,0.18800225667655468,3,0.45350003242492676,0.5125000476837158,0.41146064177155495
cifar10,4,2048,0,1.0,False,0.565,1.4578859308415184,18903050,0.5021177356441816,0.016096317985405523,0.638689269622167,0.7321787675221761,0.13280342519283295,0.16603966802358627,3,0.4300000071525574,0.46700000762939453,0.3044225685298443
cifar10,4,2048,1,1.0,False,0.5618,1.4315121065805998,18903050,0.4984302818775177,0.014529422449413687,0.6355093816916147,0.7207952936490377,0.13513627648353577,0.1735475305467844,3,0.4305000305175781,0.4870000183582306,0.29925500974059105
cifar10,4,2048,2,1.0,False,0.5628,1.4303188388471613,18903050,0.4976521134376526,0.013745519332587719,0.6340659111738205,0.7231563925743103,0.12713176012039185,0.18511632084846497,3,0.42750000953674316,0.47600001096725464,0.3097280450165272
cifar10,4,512,0,1.0,False,0.5548,1.548881162753409,2366474,0.5716685851414999,0.0364943432311217,0.6680691738923391,0.7900444269180298,0.21114838123321533,0.16066528856754303,3,0.3915000259876251,0.49650001525878906,0.3433956205844879
cifar10,4,512,1,1.0,False,0.563,1.5296590406472772,2366474,0.575106089313825,0.03401818840454022,0.6712238887945811,0.7927947441736857,0.20689940452575684,0.16630455758422613,3,0.4130000174045563,0.4805000126361847,0.3467204701155424
cifar10,4,512,2,1.0,False,0.5576,1.5444795075326239,2366474,0.5764407590031624,0.029417277313768864,0.6733179787794749,0.7932433485984802,0.20722515881061554,0.16187047772109509,3,0.40050002932548523,0.4935000240802765,0.3550865165889263
cifar10,8,128,0,1.0,False,0.5284,1.1973637972470568,510218,0.7280923521944455,0.07253923874148833,0.7514933858598981,0.9233959572655814,0.6002920091152191,0.27709274366497993,7,0.4570000171661377,0.5385000109672546,0.23862820770591497
cifar10,8,128,1,1.0,False,0.5228,1.1927946167138366,510218,0.7260361771498408,0.07866868752587054,0.7492664051907403,0.9233061671257019,0.5965822478135426,0.2819865243509412,7,0.46300002932548523,0.5275000333786011,0.2329852133989334
cifar10,8,128,2,1.0,False,0.535,1.2078552494072803,510218,0.7267932146787643,0.07032600517517754,0.7505985242979867,0.9223412786211286,0.5989738424619039,0.28893598448485136,7,0.453000009059906,0.5315000414848328,0.25649060495197773
cifar10,8,2048,0,1.0,False,0.5348,1.163721972972496,35688458,0.6113943348505667,0.02074531352055991,0.6532160889889512,0.8514018058776855,0.4565813904007276,0.34411428589373827,4,0.421500027179718,0.4690000116825104,0.1797582432627678
cifar10,8,2048,1,1.0,False,0.533,1.152665853757251,35688458,0.603781150121774,0.018241548414932498,0.6590700426271984,0.8401249263967786,0.4528953934709231,0.34050668589770794,5,0.4100000262260437,0.4505000114440918,0.16980085289105773
cifar10,8,2048,2,1.0,False,0.535,1.1552003986241164,35688458,0.604331883202706,0.01934842679163142,0.6500581178281989,0.8564343197005135,0.44496835917234423,0.3178707864135504,5,0.42500001192092896,0.43950003385543823,0.17409577127546072
cifar10,8,512,0,0.25,False,0.521,4.831131153097183,3417098,0.605806404458625,0.049233088336352794,0.6648664075349059,0.8302756335054126,0.47390743990739187,0.4593784976750612,3,0.4140000343322754,0.5110000371932983,0.1585811385884881
cifar10,8,512,0,0.5,False,0.5266,2.334944972327284,3417098,0.640711500708546,0.06018995427127395,0.6732876827674252,0.8598858714103699,0.504142873485883,0.47187803965061903,4,0.4125000238418579,0.5250000357627869,0.16541961207985878
cifar10,8,512,0,1.0,False,0.532,1.184111618522571,3417098,0.6278324050030538,0.06161137261161847,0.6579591270004,0.8823199783052716,0.465392559270064,0.27881638146936893,4,0.4305000305175781,0.4905000329017639,0.18133180681616068
cifar10,8,512,0,1.0,True,0.0898,0.7565066654932856,3417098,0.5856597522007567,0.024557087300178995,0.6821191827101367,0.891187310218811,0.3803763474027316,0.5500900447368622,7,0.3375000059604645,0.19200000166893005,0.2509383512660861
cifar10,8,512,0,2.0,False,0.5362,0.5572806518301217,3417098,0.6285959099020276,0.04286951385438442,0.6523419288652283,0.9048392517226083,0.4419989744822184,0.17088914895430207,7,0.4085000157356262,0.4855000376701355,0.2667538058012724
cifar10,8,512,0,4.0,False,0.3978,0.09391902388054438,3417098,0.760760964027473,0.04855683911591768,0.7739301089729581,0.9578973565782819,0.6198165436585744,0.3856208734214306,7,0.35600000619888306,0.3020000159740448,0.622678592801094
cifar10,8,512,1,1.0,False,0.5374,1.1812672132037731,3417098,0.6225122013794524,0.05841207570379733,0.650406147220305,0.8777505670275006,0.4591050351659457,0.28348216135054827,4,0.4130000174045563,0.5095000267028809,0.18008851259946823
cifar10,8,512,2,1.0,False,0.5294,1.2022418182624008,3417098,0.6178432907909155,0.05455760471522808,0.6519566167678151,0.877258334841047,0.4508241201440493,0.2769612167030573,5,0.41700002551078796,0.5100000500679016,0.18917208537459373
mnist,16,128,0,1.0,False,0.9664,0.5525921004148358,349450,0.8328885945181052,0.21573350975910824,0.8775386934479078,0.9700502912203471,0.7952185761142563,0.5940824477002025,9,0.9315000176429749,0.9380000233650208,0.13831984624266624
mnist,16,128,1,1.0,False,0.9726,0.4938952259184373,349450,0.8519851423799991,0.213139174109286,0.8754772836963336,0.9669157902399699,0.8207837307191157,0.6134872818365693,6,0.9480000734329224,0.9445000290870667,0.18957530986517668
mnist,16,128,2,1.0,False,0.9694,0.5781790252943996,349450,0.8849225687483947,0.25934951479236285,0.8764929940303167,0.9722240130106609,0.8622494516791878,0.8536636540666223,5,0.9380000233650208,0.937000036239624,0.14425270026549697
mnist,16,512,0,1.0,False,0.877,0.5808440156010067,4346890,0.8110983890791734,0.11210759138824263,0.8345042946437995,0.9437165141105652,0.7763119040282218,0.9073921255767345,9,0.924500048160553,0.8230000138282776,0.24468562565743923
mnist,16,512,1,1.0,False,0.9508,0.5900768139982057,4346890,0.8778048935035865,0.12193753440612151,0.881234186142683,0.9642693877220154,0.8555057160146944,0.9289556946605444,6,0.9375000596046448,0.893500030040741,0.20310091506689787
mnist,16,512,2,1.0,False,0.9478,0.5555136268268507,4346890,0.8951470502962668,0.11500025366161329,0.8939782356222471,0.9574040432771047,0.8780535870528483,0.933779782615602,6,0.940000057220459,0.9030000567436218,0.17743904329836369
mnist,4,128,0,1.0,False,0.9812,0.7667104781220749,151306,0.8674983382225037,0.01665326611449321,0.9016824762026469,0.9414284825325012,0.7103278636932373,0.21490450575947762,3,0.9470000267028809,0.9610000252723694,0.4601266458630562
mnist,4,128,1,1.0,False,0.981,0.7593486413607405,151306,0.8703081607818604,0.02680979921327283,0.901059220234553,0.9428039789199829,0.7119093537330627,0.2236548401415348,3,0.9460000395774841,0.9595000743865967,0.43111346662044525
mnist,4,128,2,1.0,False,0.9816,0.8065396180830389,151306,0.8719650109608968,0.03703842436273893,0.8978836635748545,0.9444271524747213,0.7091670632362366,0.22756323963403702,3,0.9465000629425049,0.9655000567436218,0.44471267610788345
mnist,4,2048,0,1.0,False,0.9916,0.6607684799080864,14217226,0.8562088211377462,0.01909012091346085,0.8156530360380808,0.9269063671429952,0.6959877014160156,0.17900539748370647,3,0.9535000324249268,0.9775000214576721,0.5369343236088753
mnist,4,2048,1,1.0,False,0.9922,0.6684679079840785,14217226,0.8538838823636373,0.018114118138328195,0.8145861426989237,0.9276164372762045,0.6859738826751709,0.1643794532865286,3,0.956000030040741,0.9740000367164612,0.5378772765398026
mnist,4,2048,2,1.0,False,0.9926,0.6723804209663581,14217226,0.8513953487078348,0.025359386733422678,0.8150995771090189,0.9268723527590433,0.6790129542350769,0.16311823949217796,3,0.9565000534057617,0.9720000624656677,0.5336972624063492
mnist,4,512,0,1.0,False,0.9906,0.5939997492408119,1195018,0.8366424739360809,0.019710337432722252,0.8485690951347351,0.9286733269691467,0.6405737400054932,0.18914329074323177,3,0.9590000510215759,0.9745000600814819,0.5190434902906418
mnist,4,512,1,1.0,False,0.9902,0.5893427086551127,1195018,0.8397707541783651,0.016326395484308403,0.8503025074799856,0.929497500260671,0.6479865312576294,0.19417523965239525,3,0.955500066280365,0.9725000262260437,0.5053990930318832
mnist,4,512,2,1.0,False,0.9902,0.5843369150069263,1195018,0.8374879956245422,0.0224182007368654,0.845786452293396,0.9273765881856283,0.6421239376068115,0.18753776140511036,3,0.9595000743865967,0.9760000705718994,0.5315510034561157
mnist,8,128,0,1.0,False,0.9788,0.5702861277625979,217354,0.8807934841939381,0.08836461670164551,0.8991326711007527,0.9697075826781136,0.8200383345286052,0.2854226641356945,7,0.940500020980835,0.9625000357627869,0.27685449458658695
mnist,8,128,1,1.0,False,0.975,0.5473399129843565,217354,0.8985099026135036,0.10063767153769732,0.9079368838242122,0.970888614654541,0.8499930461247762,0.31107043474912643,4,0.9430000185966492,0.9615000486373901,0.3212453816086054
mnist,8,128,2,1.0,False,0.9772,0.6019312562102561,217354,0.8705018013715744,0.08423724245845474,0.888776815363339,0.9655026027134487,0.8065261125564576,0.3244868889451027,4,0.9385000467300415,0.956000030040741,0.26297418028116226
mnist,8,2048,0,1.0,False,0.9908,0.6421420987536249,31002634,0.7213898343699319,0.024744269365328364,0.8038511425256729,0.8925833872386387,0.6255408763885498,0.4132889546453953,2,0.955500066280365,0.9795000553131104,0.36314718797802925
mnist,8,2048,1,1.0,False,0.9892,0.5976040509581879,31002634,0.829963396702494,0.029058797168545425,0.8251075137938771,0.9264590314456395,0.7700481871763866,0.5767244379967451,3,0.9535000324249268,0.9665000438690186,0.3507813960313797
mnist,8,512,0,1.0,False,0.9906,0.47777963449332533,2245642,0.8788038066455296,0.04890189549353506,0.8648075950997216,0.9617599163736615,0.8247763156890869,0.25726234447211027,5,0.9595000743865967,0.9805000424385071,0.3769043833017349
mnist,8,512,1,1.0,False,0.9908,0.4681755731757465,2245642,0.8804912673575538,0.05002341467687594,0.8629122589315686,0.9626760227339608,0.8267645756403605,0.24031681846827269,7,0.9595000743865967,0.9770000576972961,0.3577515669167042
mnist,8,512,2,1.0,False,0.99,0.47988686330482266,2245642,0.8699637332132885,0.05205745003851397,0.8597659234489713,0.9610948647771563,0.8089073459307353,0.2695984672755003,7,0.9645000696182251,0.9805000424385071,0.3690215516835451
